frames,fifo_faults,clock_faults,aging_faults,wsclock_faults,lru_faults,opt_faults,wsclock_window,best_algorithms,reference_source
3,72,72,72,72,72,49,6,opt,benchmark:compiler-phase-shift
4,60,60,52,52,52,42,8,opt,benchmark:compiler-phase-shift
5,60,58,52,52,52,35,10,opt,benchmark:compiler-phase-shift
6,34,34,32,32,32,30,12,opt,benchmark:compiler-phase-shift
7,34,34,32,32,32,30,14,opt,benchmark:compiler-phase-shift
8,30,30,30,30,30,30,16,fifo/clock/aging/wsclock/lru/opt,benchmark:compiler-phase-shift
