frames,fifo_faults,clock_faults,aging_faults,wsclock_faults,lru_faults,opt_faults,best_algorithms,reference_source
3,10,10,8,8,8,6,opt,preset:looping-hotset
4,4,4,4,4,4,4,fifo/clock/aging/wsclock/lru/opt,preset:looping-hotset
5,4,4,4,4,4,4,fifo/clock/aging/wsclock/lru/opt,preset:looping-hotset
6,4,4,4,4,4,4,fifo/clock/aging/wsclock/lru/opt,preset:looping-hotset
7,4,4,4,4,4,4,fifo/clock/aging/wsclock/lru/opt,preset:looping-hotset
8,4,4,4,4,4,4,fifo/clock/aging/wsclock/lru/opt,preset:looping-hotset
