frame_count,winner_mode,best_fixed_mode,leader_modes,adaptive_status,adaptive_fault_delta,adaptive_writeback_delta,adaptive_score_delta,auto_window,tuned_window,adaptive_segment_length,adaptive_average_window,adaptive_min_window,adaptive_max_window,auto_faults,tuned_faults,adaptive_faults,auto_writebacks,tuned_writebacks,adaptive_writebacks,auto_weighted_score,tuned_weighted_score,adaptive_weighted_score,reference_source
3,tuned-fixed,tuned-fixed,auto-fixed/tuned-fixed/adaptive-heuristic,tied,0,0,0.0,6,2,10,3.47619,3,6,62,62,62,0,0,0,62.0,62.0,62.0,benchmark:db-hotset-scan
4,tuned-fixed,tuned-fixed,auto-fixed/tuned-fixed/adaptive-heuristic,tied,0,0,0.0,8,2,10,4.0,3,8,47,47,47,0,0,0,47.0,47.0,47.0,benchmark:db-hotset-scan
5,tuned-fixed,tuned-fixed,tuned-fixed/adaptive-heuristic,tied,0,0,0.0,10,3,10,4.404762,3,10,34,33,33,0,0,0,34.0,33.0,33.0,benchmark:db-hotset-scan
6,tuned-fixed,tuned-fixed,tuned-fixed,worse,3,0,3.0,12,2,10,4.761905,3,12,34,31,34,0,0,0,34.0,31.0,34.0,benchmark:db-hotset-scan
7,tuned-fixed,tuned-fixed,tuned-fixed/adaptive-heuristic,tied,0,0,0.0,14,2,10,5.119048,3,14,34,31,31,0,0,0,34.0,31.0,31.0,benchmark:db-hotset-scan
8,tuned-fixed,tuned-fixed,tuned-fixed/adaptive-heuristic,tied,0,0,0.0,16,2,10,5.238095,3,14,32,31,31,0,0,0,32.0,31.0,31.0,benchmark:db-hotset-scan
