job,plugin,scenario,dataset_family,available_dataset_families,plugin_mapper,plugin_reducer,plugin_combiner,plugin_benchmark_generator,plugin_benchmark_note_hook,seed,total_records,shard_size,reducers,elapsed_ms,shards,map_records,unique_keys,max_reducer_records,skew_ratio
plugin-average-score,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,"default,exam-cram,project-week",plugins_average_score.map_records,plugins_average_score.reduce_key,plugins_average_score.combine_values,plugins_average_score.benchmark_records,plugins_average_score.benchmark_notes,42,240,30,2,5.066,8,240,21,71,1.34
plugin-average-score,projects/mini-mapreduce-lab/plugins_average_score.py,skewed,project-week,"default,exam-cram,project-week",plugins_average_score.map_records,plugins_average_score.reduce_key,plugins_average_score.combine_values,plugins_average_score.benchmark_records,plugins_average_score.benchmark_notes,42,240,30,4,5.225,8,240,21,40,1.509
