type,workload,reference_source,reference_length,best_average_fault_algorithms,best_average_fault_rate_algorithms,fifo_has_anomaly,non_fifo_regression_count,fifo_avg_faults,clock_avg_faults,aging_avg_faults,wsclock_avg_faults,lru_avg_faults,opt_avg_faults,fifo_avg_fault_rate,clock_avg_fault_rate,aging_avg_fault_rate,wsclock_avg_fault_rate,lru_avg_fault_rate,opt_avg_fault_rate
preset,classic-belady,preset:classic-belady,12,opt,opt,yes,1,6.500000,6.500000,6.333333,6.333333,6.333333,5.500000,0.541667,0.541667,0.527778,0.527778,0.527778,0.458333
benchmark,compiler-phase-shift,benchmark:compiler-phase-shift,72,opt,opt,no,0,48.333333,48.000000,45.000000,45.000000,45.000000,36.000000,0.671296,0.666667,0.625000,0.625000,0.625000,0.500000
custom,mobile-app-session,pages-file:projects/page-replacement-lab/custom-traces/mobile-app-session.txt,60,opt,opt,no,0,44.000000,44.000000,40.666667,40.666667,40.666667,31.833333,0.733333,0.733333,0.677778,0.677778,0.677778,0.530556
