workload,headline,branches,seed,trace_output,winner_sequence,crossover_count,crossover_sequence,budget_64_winner_predictor,budget_64_winner_accuracy_percent,budget_64_winner_state_bits,budget_64_winner_config,budget_64_runner_up_predictor,budget_64_runner_up_accuracy_percent,budget_64_winner_margin_percent,budget_64_best_simple_predictor,budget_64_best_simple_accuracy_percent,budget_64_best_advanced_predictor,budget_64_best_advanced_accuracy_percent,budget_128_winner_predictor,budget_128_winner_accuracy_percent,budget_128_winner_state_bits,budget_128_winner_config,budget_128_runner_up_predictor,budget_128_runner_up_accuracy_percent,budget_128_winner_margin_percent,budget_128_best_simple_predictor,budget_128_best_simple_accuracy_percent,budget_128_best_advanced_predictor,budget_128_best_advanced_accuracy_percent,budget_256_winner_predictor,budget_256_winner_accuracy_percent,budget_256_winner_state_bits,budget_256_winner_config,budget_256_runner_up_predictor,budget_256_runner_up_accuracy_percent,budget_256_winner_margin_percent,budget_256_best_simple_predictor,budget_256_best_simple_accuracy_percent,budget_256_best_advanced_predictor,budget_256_best_advanced_accuracy_percent,budget_512_winner_predictor,budget_512_winner_accuracy_percent,budget_512_winner_state_bits,budget_512_winner_config,budget_512_runner_up_predictor,budget_512_runner_up_accuracy_percent,budget_512_winner_margin_percent,budget_512_best_simple_predictor,budget_512_best_simple_accuracy_percent,budget_512_best_advanced_predictor,budget_512_best_advanced_accuracy_percent,budget_1024_winner_predictor,budget_1024_winner_accuracy_percent,budget_1024_winner_state_bits,budget_1024_winner_config,budget_1024_runner_up_predictor,budget_1024_runner_up_accuracy_percent,budget_1024_winner_margin_percent,budget_1024_best_simple_predictor,budget_1024_best_simple_accuracy_percent,budget_1024_best_advanced_predictor,budget_1024_best_advanced_accuracy_percent
loop-heavy,loop backedges and exits,40,7,artifacts/branch-predictor-lab/budget-sweep/loop-heavy-seed7.trace,64b:gshare -> 128b:gshare -> 256b:gshare -> 512b:gshare -> 1024b:gshare,0,none,gshare,82.5,36,gshare | table=16 | history=4 | bits=36,local-history,82.5,0.0,always-taken,80.0,gshare,82.5,gshare,87.5,68,gshare | table=32 | history=4 | bits=68,local-history,82.5,5.0,always-taken,80.0,gshare,87.5,gshare,90.0,132,gshare | table=64 | history=4 | bits=132,local-history,82.5,7.5,always-taken,80.0,gshare,90.0,gshare,90.0,132,gshare | table=64 | history=4 | bits=132,tournament,85.0,5.0,always-taken,80.0,gshare,90.0,gshare,90.0,132,gshare | table=64 | history=4 | bits=132,tournament,85.0,5.0,always-taken,80.0,gshare,90.0
random-biased,biased hot/cold guard branches,96,11,artifacts/branch-predictor-lab/budget-sweep/random-biased-seed11.trace,64b:always-taken -> 128b:two-bit -> 256b:two-bit -> 512b:two-bit -> 1024b:two-bit,1,64→128b always-taken→two-bit,always-taken,52.083,0,always-taken | stateless,two-bit,52.083,0.0,always-taken,52.083,local-history,51.042,two-bit,63.542,128,two-bit | table=64 | bits=128,gshare,53.125,10.417,two-bit,63.542,gshare,53.125,two-bit,63.542,128,two-bit | table=64 | bits=128,gshare,60.417,3.125,two-bit,63.542,gshare,60.417,two-bit,63.542,128,two-bit | table=64 | bits=128,gshare,60.417,3.125,two-bit,63.542,gshare,60.417,two-bit,63.542,128,two-bit | table=64 | bits=128,perceptron,61.458,2.083,two-bit,63.542,perceptron,61.458
tournament-style,mixed local/global correlation,48,5,artifacts/branch-predictor-lab/budget-sweep/tournament-style-seed5.trace,64b:gshare -> 128b:gshare -> 256b:gshare -> 512b:tournament -> 1024b:tournament,1,256→512b gshare→tournament,gshare,72.917,36,gshare | table=16 | history=4 | bits=36,local-history,72.917,0.0,one-bit,68.75,gshare,72.917,gshare,77.083,68,gshare | table=32 | history=4 | bits=68,local-history,77.083,0.0,one-bit,68.75,gshare,77.083,gshare,77.083,68,gshare | table=32 | history=4 | bits=68,local-history,77.083,0.0,one-bit,68.75,gshare,77.083,tournament,83.333,292,tournament | table=32 | history=4 | bits=292,gshare,77.083,6.25,one-bit,68.75,tournament,83.333,tournament,83.333,292,tournament | table=32 | history=4 | bits=292,perceptron,79.167,4.167,one-bit,68.75,tournament,83.333
alias-thrash,small-table alias interference,64,7,artifacts/branch-predictor-lab/budget-sweep/alias-thrash-seed7.trace,64b:local-history -> 128b:gshare -> 256b:gshare -> 512b:gshare -> 1024b:gshare,1,64→128b local-history→gshare,local-history,79.688,48,local-history | table=4 | history=4 | bits=48,perceptron,79.688,0.0,two-bit,79.688,local-history,79.688,gshare,81.25,65,gshare | table=32 | history=1 | bits=65,local-history,79.688,1.562,two-bit,79.688,gshare,81.25,gshare,81.25,65,gshare | table=32 | history=1 | bits=65,local-history,79.688,1.562,two-bit,79.688,gshare,81.25,gshare,81.25,65,gshare | table=32 | history=1 | bits=65,perceptron,81.25,0.0,two-bit,79.688,gshare,81.25,gshare,81.25,65,gshare | table=32 | history=1 | bits=65,perceptron,81.25,0.0,two-bit,79.688,gshare,81.25
perceptron-majority,long-history linearly separable branch,96,13,artifacts/branch-predictor-lab/budget-sweep/perceptron-majority-seed13.trace,64b:perceptron -> 128b:perceptron -> 256b:gshare -> 512b:perceptron -> 1024b:perceptron,2,128→256b perceptron→gshare | 256→512b gshare→perceptron,perceptron,82.292,62,perceptron | table=4 | history=2 | w=15 | bits=62,gshare,81.25,1.042,always-not-taken,75.0,perceptron,82.292,perceptron,82.292,62,perceptron | table=4 | history=2 | w=15 | bits=62,gshare,81.25,1.042,always-not-taken,75.0,perceptron,82.292,gshare,83.333,136,gshare | table=64 | history=8 | bits=136,perceptron,82.292,1.042,always-not-taken,75.0,gshare,83.333,perceptron,92.708,272,perceptron | table=4 | history=12 | w=15 | bits=272,gshare,83.333,9.375,always-not-taken,75.0,perceptron,92.708,perceptron,92.708,272,perceptron | table=4 | history=12 | w=15 | bits=272,tournament,92.708,0.0,always-not-taken,75.0,perceptron,92.708
